"MUNIC_RES","ANO","POPULACAO"
"2307502","2021",31476
"2307601","2021",60232
"2307635","2021",20031
"2307650","2021",230986
"2307700","2021",131677
"2307809","2021",27822
"2307908","2021",11407
"2308005","2021",39341
"2308104","2021",48370
"2308203","2021",15309
"2308302","2021",27413
"2308351","2021",13129
"2308377","2021",13965
"2308401","2021",35566
"2308500","2021",43917
"2308609","2021",17264
"2308708","2021",61590
"2308807","2021",8833
"2308906","2021",22830
"2309003","2021",14561
"2309102","2021",11056
"2309201","2021",15798
"2309300","2021",32487
"2309409","2021",28737
"2309458","2021",25958
"2309508","2021",21342
"2309607","2021",74145
"2309706","2021",85647
"2309805","2021",12313
"2309904","2021",6565
"2310001","2021",9458
"2310100","2021",13553
"2310209","2021",35526
"2310258","2021",33232
"2310308","2021",31391
"2310407","2021",12276
"2310506","2021",43359
"2310605","2021",9207
"2310704","2021",38045
"2310803","2021",16356
"2310852","2021",20964
"2310902","2021",17210
"2310951","2021",11052
"2311009","2021",12358
"2311108","2021",14920
"2311207","2021",11165
"2311231","2021",6455
"2311264","2021",21246
"2311306","2021",88899
"2311355","2021",16116
"2311405","2021",82455
"2311504","2021",22432
"2311603","2021",29238
"2311702","2021",18279
"2311801","2021",79550
"2311900","2021",15757
"2311959","2021",16714
"2312007","2021",32851
"2312106","2021",17726
"2312205","2021",43719
"2312304","2021",48354
"2312403","2021",49306
"2312502","2021",7557
"2312601","2021",13086
"2312700","2021",25418
"2312809","2021",7758
"2312908","2021",212437
"2313005","2021",18389
"2313104","2021",32079
"2313203","2021",26199
"2313252","2021",8555
"2313302","2021",59259
"2313351","2021",19551
"2313401","2021",77111
"2313500","2021",56653
"2313559","2021",16588
"2313609","2021",35295
"2313708","2021",7740
"2313757","2021",19976
"2313807","2021",22223
"2313906","2021",13988
"2313955","2021",18520
"2314003","2021",41078
"2314102","2021",61916
"2400109","2021",11106
"2400208","2021",58743
"2400307","2021",11024
"2400406","2021",3293
"2400505","2021",13529
"2400604","2021",4685
"2400703","2021",14923
"2400802","2021",11695
"2400901","2021",7162
"2401008","2021",35904
"2401107","2021",28156
"2401206","2021",14526
"2401305","2021",9686
"2401404","2021",9373
"2401453","2021",29112
"2401503","2021",3989
"2401602","2021",5552
"2401651","2021",2171
"2401701","2021",10323
"2401800","2021",12873
"2401859","2021",6572
"2401909","2021",3745
"2402006","2021",68726
"2402105","2021",11363
"2402204","2021",34814
"2402303","2021",20588
"2402402","2021",8297
"2402501","2021",10972
"2402600","2021",74268
"2402709","2021",11182
"2402808","2021",5501
"2402907","2021",4918
"2403004","2021",7968
"2403103","2021",45022
"2403202","2021",7068
"2403251","2021",272490
"2403301","2021",5697
"2403400","2021",6064
"2403509","2021",10463
"2403608","2021",29282
"2403707","2021",6009
"2403756","2021",3081
"2403806","2021",9772
"2403905","2021",2801
"2404002","2021",4015
"2404101","2021",2903
"2404200","2021",27004
"2404309","2021",13115
"2404408","2021",10541
"2404507","2021",16261
"2404606","2021",14033
"2404705","2021",15759
"2404804","2021",2264
"2404853","2021",7641
"2404903","2021",5916
"2405009","2021",9341
"2405108","2021",6907
"2405207","2021",5228
"2405306","2021",10367
"2405405","2021",4935
"2405504","2021",2600
"2405603","2021",15044
"2405702","2021",12397
"2405801","2021",35360
"2405900","2021",2653
"2406007","2021",5941
"2406106","2021",18335
"2406155","2021",3945
"2406205","2021",6851
"2406304","2021",7624
"2406403","2021",2732
"2406502","2021",15880
"2406601","2021",8348
"2406700","2021",11410
"2406809","2021",4768
"2406908","2021",4053
"2407005","2021",10175
"2407104","2021",82828
"2407203","2021",32260
"2407252","2021",4102
"2407302","2021",8325
"2407401","2021",8790
"2407500","2021",12714
"2407609","2021",4665
"2407708","2021",11166
"2407807","2021",22698
"2407906","2021",2063
"2408003","2021",303792
"2408102","2021",896708
"2408201","2021",28266
"2408300","2021",37554
"2408409","2021",4231
